diff,distance,value
311659,25.25432302,209
311664,25.25432302,203
311669,25.15888061,199
311673,25.15888061,199
311678,25.19280855,202
311683,25.22709761,191
311688,25.22709761,193
311693,25.26174631,185
311698,25.26174631,174
311703,25.26174631,157
311708,25.26174631,146
311713,25.26174631,140
311717,25.26174631,136
311722,25.26174631,129
311727,25.26174631,118
311732,25.26174631,117
311737,25.26174631,114
311742,25.26174631,115
311747,25.26174631,108
311752,25.35680029,116
311757,25.35680029,124
311761,25.35680029,131
311766,25.35680029,132
311771,25.35680029,140
311776,25.35680029,149
311781,25.35680029,166
311786,25.35680029,180
311791,25.35680029,184
311796,25.35680029,190
311801,25.35680029,196
311805,25.35680029,202
311810,25.35680029,209
311815,25.35680029,219
311820,25.35680029,225
311825,25.35680029,239
311830,25.35680029,235
311835,25.35680029,233
311840,25.35680029,224
311845,25.39167568,225
311850,25.39167568,228
311854,25.39167568,226
311859,25.39167568,227
311864,25.39167568,231
311869,25.39167568,223
311874,25.35680029,215
311879,25.35680029,205
311884,25.4519018,201
311889,25.4519018,201
311894,25.4519018,195
311898,25.4519018,188
311903,25.4519018,180
311908,25.4519018,172
311913,25.4519018,173
311918,25.4519018,171
311923,25.4519018,172
311928,25.4519018,174
311933,25.4519018,188
311938,25.4519018,190
311943,25.4519018,202
311947,25.4519018,212
311952,25.4519018,216
311957,25.4519018,222
311962,25.4519018,228
311967,25.4519018,234
311972,25.4519018,231
311977,25.4519018,228
311982,25.4519018,229
311987,25.4519018,227
311991,25.4519018,217
311996,25.4519018,226
312001,25.4519018,210
312006,25.54705033,200
312011,25.54705033,196
312016,25.54705033,201
312021,25.58166551,204
312026,25.58166551,206
312031,25.58166551,216
312035,25.58166551,236
312040,25.48664664,233
312045,25.48664664,235
312050,25.58166551,230
312055,25.58166551,223
312060,25.58166551,226
312065,25.58166551,233
312070,25.58166551,229
312075,25.48664664,230
312079,25.48664664,234
312084,25.48664664,244
312089,25.48664664,237
312094,25.48664664,223
312099,25.52174622,215
312104,25.48664664,213
312109,25.48664664,217
312114,25.48664664,216
312119,25.48664664,206
312124,25.48664664,196
312129,25.48664664,196
312133,25.48664664,194
312138,25.48664664,186
312143,25.48664664,171
312148,25.48664664,169
312153,25.48664664,182
312158,25.48664664,200
312163,25.48664664,207
312168,25.48664664,210
312173,25.48664664,205
312177,25.48664664,221
312182,25.48664664,233
312187,25.48664664,252
312192,25.48664664,259
312197,25.4519018,259
312202,25.4519018,264
312207,25.4519018,267
312212,25.4519018,258
312217,25.4519018,264
312221,25.41751316,265
312226,25.41751316,263
312231,25.41751316,272
312236,25.41751316,267
312241,25.41751316,256
312246,25.4519018,250
312251,25.4519018,236
312256,25.35680029,244
312261,25.32228207,247
312265,25.32228207,245
312270,25.32228207,244
312275,25.32228207,235
312280,25.32228207,242
312285,25.32228207,241
312290,25.32228207,239
312295,25.32228207,248
312300,25.32228207,258
312305,25.32228207,262
312309,25.32228207,266
312314,25.32228207,264
312319,25.32228207,261
312324,25.32228207,272
312329,25.32228207,280
312334,25.32228207,278
312339,25.32228207,283
312344,25.32228207,294
312349,25.32228207,302
312353,25.32228207,289
312358,25.32228207,294
312363,25.32228207,284
312368,25.32228207,284
312373,25.32228207,282
312378,25.32228207,283
312383,25.32228207,278
312388,25.32228207,263
312393,25.32228207,268
312397,25.32228207,254
312402,25.32228207,252
312407,25.32228207,239
312412,25.32228207,245
312417,25.35680029,232
312422,25.35680029,232
312427,25.35680029,223
312432,25.26174631,223
312437,25.26174631,210
312441,25.26174631,194
312446,25.26174631,188
312451,25.26174631,169
312456,25.26174631,159
312461,25.29675318,138
312466,25.42690679,132
312471,25.42690679,118
312476,25.46249213,116
312481,25.40390793,121
312485,25.44033256,131
312490,25.3829107,124
312495,25.3829107,134
312500,25.3829107,153
312505,25.2887678,169
312510,25.2887678,181
